"X1","X2","X3","X4","X5"
-45.0475226275293,-75.9087577771197,-63.3727498948072,-64.2636002602198,-33.2667773474962
-48.8684099776673,-69.7733580549561,-64.664291023333,-53.2594899293032,-56.0168160657112
-43.2079656670803,-70.486276871208,-66.4101829533721,-64.5016886241503,-79.1780424441655
-79.7987027832373,-40.2139798283544,-61.5400780955272,-46.3082514154263,-62.0669140382992
-55.3342685618096,-85.2041026720308,-33.0093096288967,-46.3138345304172,-70.8090845506792
-75.1081800704318,-46.9172777683465,-50.272696663685,-59.6394757913949,-31.9694943062189
-41.476765838586,-56.4597479208774,-50.2702874661238,-57.0683565328867,-56.19546259028
-37.79693856051,-74.2788520215724,-42.477787752162,-48.446903209816,-57.5757390648017
-44.8665474476373,-50.2024002266847,-29.1454743773191,-47.1131575078242,-41.7822523554818
-45.2411572595367,-59.7710944099104,-30.9956761224806,-59.2988940821152,-81.1589423143344
