"X1","X2","X3","X4","X5"
-17.6327389145573,-17.2454259293747,-1.65452188224436,-6.39777544284071,-7.63442598936916
-9.41868776503968,-15.3177597999295,-22.2729397844437,-10.4589834244436,-10.312958154861
-6.26921675842889,-8.75262288530458,-20.2374689557197,-6.50443193118071,-6.90993832253751
-4.89749001247678,-16.244045950828,-18.5515907253573,-19.5123367222732,-2.97285078766496
-8.49746573707736,-13.4329203662312,-15.9148587962831,-18.6033770966676,-8.67967982705369
-12.2996174698508,-7.66132453456298,-13.9021306138196,-5.57529098035016,-2.60539895264351
-4.82898195484022,-12.7029247310396,-21.2275416045943,-15.1874663434079,-20.3144940979652
-5.97548632705282,-22.0487835675153,-10.1151538989701,-14.7737637396875,-14.5799921435119
-11.0645407124637,-15.0644005030002,-12.2660249338974,-7.15240766904782,-6.2062080788602
-19.5929738161295,-13.7434912755777,-9.92016282209284,-13.321585380276,-10.5629075863033
-3.54971279481865,-23.0072250380155,-15.8294597862561,-24.0053280380888,-15.9655539698303
-3.22937547607022,-10.5642927890185,-9.49249258559368,-12.322882402957,-11.6090832761891
-9.84185235667118,-16.2350137671133,-28.6490043451542,-16.0661571502805,-19.3831968225156
-22.2180123565991,-13.3178786581485,-3.57112815682132,-3.81093283063629,-18.0346833238088
-6.43141511435023,-8.38521285166833,-8.97422378826898,-6.63799677341209,-11.2924847659812
-20.7436450519088,-5.28479005131529,-15.365232364755,-2.80032121991438,-22.2326815541193
-18.981675284699,-9.84278367015646,-29.1695179195919,-8.82062387121076,-16.0650585576572
-6.75629955626336,-6.73533717016684,-2.48208887309257,-22.1887716254745,-5.59414737458222
-16.7397593986426,-4.3039268759395,-4.58732345988252,-2.43582078440721,-7.7728511173298
-15.2835815474407,-15.8546238324662,-7.34533705049597,-8.4058689371141,-14.6904318388677
-11.3702786974278,-15.9079007240243,-6.18887584634508,-16.2909425019374,-12.2260387711975
-16.7563729231221,-22.5238534159521,-12.9230934334913,-4.67076790542769,-9.98073462584754
-4.01296279454932,-13.5682512218658,-2.12119571306078,-4.27427450227317,-10.544345801155
-10.7104626678595,-20.3284337793724,-4.41330643238094,-14.1485885771078,-15.2592200459983
-13.269566895139,-13.2929379737273,-5.52828484902845,-4.32633895406818,-20.8215649927047
-25.2944523261141,-7.52854318848368,-6.83922561676391,-8.67845085994572,-9.30595800392434
-12.9776708501909,-2.91278058460204,-14.8108952247744,-11.9964672659771,-3.46466579101793
-4.7417867634269,-9.38704037121493,-1.78026665179911,-18.7129910929791,-7.17446488074863
-2.60652432274673,-9.28475659051689,-11.540648133645,-18.1245321335283,-6.87039261345228
-30.1011218264396,-17.306665451023,-16.075315263984,-4.55108171300332,-7.76147726356574
-6.84892577987805,-10.6528698245896,-4.51809724818586,-14.086365137213,-19.1949224684368
-17.3400060801013,-4.46281979492326,-13.2974492919755,-4.62939960167092,-6.81649441490616
-9.71403674678921,-21.8399120188636,-4.2060100271603,-7.6908481015994,-9.78786129741739
-4.81034849396169,-7.33573904892248,-16.2899241766242,-5.7330992174921,-8.04404657534548
-4.58338677568563,-13.0659800849923,-13.3428458637925,-24.3939496984634,-14.9621708389803
-6.78154926876752,-17.9648744226405,-2.81235928097682,-13.563771742821,-10.1057173695429
-11.2783169499618,-10.7431928687952,-1.48141327156246,-7.00266399241803,-9.91477032090337
-6.34206190265534,-19.5747471695678,-10.9820180686049,-17.1081258942528,-13.9644597878485
-9.85549488378913,-12.6428353318404,-15.3497480021491,-5.04512322748406,-10.9455917257427
-2.19536036363908,-13.2962023198075,-13.3083428578421,-8.5715508768597,-12.3137319864178
-1.69656553464163,-7.20748452769255,-8.124098276833,-12.0350229223537,-12.009404267627
-3.9288193320163,-12.2021347554101,-13.2540115359708,-4.69989242792786,-7.9611437416656
-5.33830153400178,-5.28879810267538,-4.52633343166195,-6.19817584639665,-2.894233012056
-21.6366853368406,-12.2217060211168,-2.18643214474901,-18.1418892759358,-12.5645208063375
-12.6960398970774,-11.9861089643656,-1.51923504028691,-7.63449886708332,-7.73665154352369
-2.06276538121487,-10.9010299614564,-6.50211235983125,-15.6911793182847,-8.15979343511719
-13.0965930607071,-18.5265148309207,-9.96371539510403,-5.45766495207008,-21.4309201280336
-8.10657365652043,-8.32471989480944,-6.03142840953186,-14.8400629412615,-14.5151463606129
-14.7841729811103,-11.4855463436867,-7.80384855564166,-10.3291806231958,-18.4093507547574
-8.11251604366475,-9.03785872480592,-1.71197525002819,-12.7477679111348,-18.8685775961397
